"Station Name","Province","Latitude","Longitude","Elevation","Climate ID","WMO Identifier","TC Identifier"
"AGASSIZ CDA","BRITISH COLUMBIA","49.24","-121.76","15.00","1100120","",""
"AGASSIZ MOUNTAIN INSTITUTE","BRITISH COLUMBIA","49.27","-121.83","30.00","1100130","",""
"AGASSIZ RCS","BRITISH COLUMBIA","49.24","-121.76","19.30","1100119","71113","WZA"
"AGNEW MINE","ONTARIO","46.43","-81.62","305.10","6060070","",""
"AGUASABON","ONTARIO","48.78","-87.17","189.00","6040081","",""
"AIGREMONT","QUEBEC","49.30","-73.85","403.90","7060070","",""
"AILSA CRAIG","ONTARIO","43.15","-81.53","228.60","6140091","",""
"AIRDRIE","ALBERTA","51.32","-113.88","1082.00","3030060","",""
"AISHIHIK A","YUKON TERRITORY","61.65","-137.48","966.20","2100100","",""
"AIYANSH","BRITISH COLUMBIA","55.23","-129.02","228.60","1070150","",""
"AIYANSH 2SE","BRITISH COLUMBIA","55.18","-129.05","213.40","1070154","",""
"AKAMINA PASS","ALBERTA","49.03","-114.05","1800.00","30500FR","",""
"AKLAVIK A","NORTHWEST TERRITORIES","68.22","-135.01","6.40","2200100","","YKD"
"AKLAVIK A","NORTHWEST TERRITORIES","68.22","-135.01","6.40","2200105","","YKD"
"AKLAVIK RADIOSONDE","NORTHWEST TERRITORIES","68.23","-135.00","9.10","2200200","",""
"AKULIVIK A","QUEBEC","60.82","-78.15","23.20","7100072","","YKO"
"ALAMEDA CDA EPF","SASKATCHEWAN","49.25","-102.28","580.00","4010080","",""
"ALBANEL","QUEBEC","48.88","-72.45","152.00","7060080","",""
"ALBANY","PRINCE EDWARD ISLAND","46.27","-63.58","33.50","8300060","",""
"ALBERNI BEAVER CREEK","BRITISH COLUMBIA","49.37","-124.93","91.40","1030180","",""
"ALBERNI CITY RESERVOIR","BRITISH COLUMBIA","49.27","-124.78","64.60","1030185","",""
"ALBERNI LUPSI CUPSI","BRITISH COLUMBIA","49.25","-124.82","9.10","1030210","",""
"ALBERNI MCCOY LAKE","BRITISH COLUMBIA","49.28","-124.88","42.70","1030220","",""
"ALBERNI ROBERTSON CREEK","BRITISH COLUMBIA","49.34","-124.98","73.80","1030230","",""
"ALBERT HALL AGCM","ALBERTA","53.11","-111.18","658.00","3010060","71005","PAH"
"ALBERT HEAD","BRITISH COLUMBIA","48.40","-123.48","17.00","1010235","",""
"ALBERTON","PRINCE EDWARD ISLAND","46.85","-64.02","3.00","8300080","",""
"ALBERTON","ONTARIO","43.18","-80.05","215.00","6150060","",""
"ALBERTON SNOW","PRINCE EDWARD ISLAND","46.81","-64.06","8.50","8300085","",""
"ALBERTVILLE","QUEBEC","48.30","-67.35","335.30","7050085","",""
"ALBION","ONTARIO","43.93","-79.83","274.30","6150100","",""
"ALBION FIELD CENTRE","ONTARIO","43.92","-79.83","281.90","6150103","",""
"ALBREDA","BRITISH COLUMBIA","52.67","-119.20","873.30","1170237","",""
"ALDER FLATS LO","ALBERTA","52.80","-114.82","1075.90","3010080","",""
"ALDERGROVE","BRITISH COLUMBIA","49.12","-122.48","76.20","1100240","",""
"ALDERGROVE 2","BRITISH COLUMBIA","49.03","-122.48","60.00","1100241","",""
"ALDERGROVE 48 AVENUE","BRITISH COLUMBIA","49.08","-122.52","85.00","1100245","",""
"ALDERGROVE CENTRE","BRITISH COLUMBIA","49.05","-122.47","60.00","1100KM0","",""
"ALDERSHOT","ONTARIO","43.32","-79.87","144.80","6150135","",""
"ALERT","NUNAVUT","82.52","-62.28","30.50","2400300","","WLT"
"ALERT BAY","BRITISH COLUMBIA","50.58","-126.93","59.40","1020270","",""
"ALERT CLIMATE","NUNAVUT","82.50","-62.33","65.40","2400305","71355","ZLT"
"ALERT UA","NUNAVUT","82.50","-62.33","65.40","2400306","71082",""
"ALEXANDER","MANITOBA","49.83","-100.30","427.00","5010033","",""
"ALEXANDRIA","ONTARIO","45.32","-74.61","77.00","6100166","","TAL"
"ALEXIS CREEK","BRITISH COLUMBIA","52.10","-123.62","853.40","1080283","",""
"ALEXIS CREEK","BRITISH COLUMBIA","52.08","-123.28","800.10","1080284","",""
"ALEXIS CREEK","BRITISH COLUMBIA","52.13","-123.33","723.90","1080285","",""
"ALEXIS CREEK TAUTRI CRK","BRITISH COLUMBIA","52.55","-123.18","1219.20","1080289","",""
"ALEZA LAKE","BRITISH COLUMBIA","54.12","-122.07","624.80","1090300","",""
"ALFRED","ONTARIO","45.55","-74.88","54.00","6100172","",""
"ALFRED","ONTARIO","45.56","-74.88","57.00","6100176","","TAE"
"ALFRED AUTOMATIC CLIMATE STATION","ONTARIO","45.55","-74.88","54.00","6100174","",""
"ALGAR LO","ALBERTA","56.12","-111.78","780.30","3060110","",""
"ALGONQUIN PARK","ONTARIO","45.58","-78.55","432.50","6080189","",""
"ALGONQUIN PARK EAST","ONTARIO","45.53","-78.27","411.50","6080191","",""
"ALGONQUIN PARK EAST GATE","ONTARIO","45.53","-78.27","397.00","6080192","71581","TNK"
"ALGONQUIN PARK WEST","ONTARIO","45.33","-78.85","426.70","6080193","",""
"ALICE ARM","BRITISH COLUMBIA","55.47","-129.47","1.50","1060331","",""
"ALICE ARM","BRITISH COLUMBIA","55.68","-129.50","314.20","1060330","",""
"ALIDA","SASKATCHEWAN","49.45","-101.80","585.20","4010100","",""
"ALIX","ALBERTA","52.38","-113.17","787.90","3020120","",""
"ALIX","ALBERTA","52.37","-113.30","853.40","3020121","",""
"ALKALI LAKE","BRITISH COLUMBIA","51.78","-122.28","","1090335","",""
"ALLAN PARK","ONTARIO","44.17","-80.93","285.00","6110210","",""
"ALLIANCE","ALBERTA","52.43","-111.78","715.70","3010160","",""
"ALLIANCE AGCM","ALBERTA","52.32","-111.78","737.00","3010162","71006","PAA"
"ALLIANCE GREENVIEW","ALBERTA","52.38","-111.80","731.50","3010164","",""
"ALLIANCE SOUTH","ALBERTA","52.42","-111.78","713.20","3010175","",""
"ALLISON PASS","BRITISH COLUMBIA","49.13","-120.83","1341.10","1110350","",""
"ALLISON PASS DOH","BRITISH COLUMBIA","49.12","-120.87","1339.90","1110352","",""
"ALLISTON","ONTARIO","44.15","-79.85","213.40","6110216","",""
"ALLISTON","PRINCE EDWARD ISLAND","46.07","-62.60","61.00","8300100","",""
"ALLISTON NELSON","ONTARIO","44.15","-79.87","221.00","6110218","",""
"ALLISTON SNOW","PRINCE EDWARD ISLAND","46.07","-62.60","61.00","8300102","",""
"ALLOA","ONTARIO","43.72","-79.87","262.10","6150224","",""
"ALMA","NEW BRUNSWICK","45.60","-64.95","42.70","8100200","",""
"ALMASIPPI","MANITOBA","49.55","-98.20","274.30","5020036","",""
"ALMONTE","ONTARIO","45.18","-76.23","125.00","6100226","",""
"ALONSA","MANITOBA","50.83","-99.05","274.30","5040037","",""
"ALOUETTE LAKE","BRITISH COLUMBIA","49.28","-122.48","117.30","1100360","",""
"ALOUETTE POWER HOUSE","BRITISH COLUMBIA","49.37","-122.32","91.40","1100370","",""
"ALSASK","SASKATCHEWAN","51.42","-109.90","661.40","4020121","",""
"ALSASK","SASKATCHEWAN","51.38","-110.00","701.00","4040120","",""
"ALSASK","ALBERTA","51.38","-110.03","701.00","3020220","",""
"ALSASK HARDENE","SASKATCHEWAN","51.33","-109.85","658.40","4020130","",""
"ALTA LAKE","BRITISH COLUMBIA","50.15","-122.95","667.50","1040390","",""
"ALTA LAKE 2","BRITISH COLUMBIA","50.15","-122.98","640.10","1040420","",""
"ALTA LAKE NORTHAIR MINE","BRITISH COLUMBIA","50.12","-123.10","1005.80","1040400","",""
"ALTAWAN","ALBERTA","49.25","-110.01","944.90","3040223","",""
"ALTON","ONTARIO","43.85","-80.08","401.40","6150243","",""
"ALTONA","MANITOBA","49.10","-97.55","247.80","5020040","",""
"ALTONA CFAM","MANITOBA","49.10","-97.55","247.50","5020050","",""
"ALTONA SOUTH","MANITOBA","49.05","-97.57","249.90","5020054","",""
"ALVINSTON","ONTARIO","42.87","-81.88","221.00","6120250","",""
"AMARANTH","MANITOBA","50.63","-98.72","259.10","5040060","",""
"AMBER LO","ALBERTA","59.18","-119.45","579.10","3070230","",""
"AMHERST (AUT)","NOVA SCOTIA","45.85","-64.27","23.00","8200091","","WAH"
"AMHERST ISLAND CDA EPF","QUEBEC","47.22","-61.97","15.20","7050100","",""
"AMHERSTBURG","ONTARIO","42.10","-83.09","182.00","6130257","",""
"AMISK","ALBERTA","52.68","-111.12","701.00","3010232","",""
"AMOS","QUEBEC","48.57","-78.13","310.00","7090120","",""
"AMPHITRITE POINT","BRITISH COLUMBIA","48.92","-125.53","10.70","1030425","",""
"AMPHITRITE POINT","BRITISH COLUMBIA","48.92","-125.54","26.50","1030426","","WAN"
"AMQUI","QUEBEC","48.47","-67.43","166.00","7050145","71386","WZS"
"AMQUI","QUEBEC","48.52","-67.45","182.90","7050140","",""
"AMULET","SASKATCHEWAN","49.62","-104.73","727.60","4010150","",""
"AMYOT LAKE","SASKATCHEWAN","53.70","-106.68","","4050153","",""
"ANAHIM LAKE","BRITISH COLUMBIA","52.47","-125.32","1108.00","1080431","",""
"ANAHIM LAKE","BRITISH COLUMBIA","52.35","-125.33","1097.30","1080430","",""
"ANAHIM LAKE 5 MILE RANCH","BRITISH COLUMBIA","52.53","-125.07","1246.00","1080432","",""
"ANDREW","ALBERTA","54.02","-112.23","610.00","3010234","",""
"ANDREW AGDM","ALBERTA","53.92","-112.28","625.00","3010237","71286","XAG"
"ANEROID","SASKATCHEWAN","49.72","-107.30","754.10","4020160","",""
"ANGERS","QUEBEC","45.55","-75.55","91.00","7030170","",""
"ANGLIA","SASKATCHEWAN","51.57","-108.17","567.20","4040180","",""
"ANGUS","ONTARIO","44.32","-79.87","191.10","6110270","",""
"ANGUS CAMPHILL","ONTARIO","44.28","-79.85","212.00","6110275","",""
"ANGUS TOWER","NORTHWEST TERRITORIES","60.35","-114.28","246.90","2200310","",""
"ANNACIS ISLAND","BRITISH COLUMBIA","49.18","-122.93","4.60","1100440","",""
"ANNAPOLIS ROYAL","NOVA SCOTIA","44.75","-65.52","7.70","8200100","",""
"ANNIE LAKE ROBINSON","YUKON TERRITORY","60.47","-134.83","820.00","2100115","",""
"ANOLA","MANITOBA","49.88","-96.65","255.10","5020069","",""
"ANSE AU GRIFFON","QUEBEC","48.93","-64.28","61.00","7050195","",""
"ANSELL LO","ALBERTA","53.55","-116.50","968.00","3060235","",""
"ANSELMO","ALBERTA","53.97","-115.42","853.40","3060237","",""
"ANTHRACITE","ALBERTA","51.20","-115.50","1386.80","3050240","",""
"ANTICOSTI HEATH POINT","QUEBEC","49.10","-61.70","9.10","7050198","",""
"ANTICOSTI SW POINT","QUEBEC","49.40","-63.55","7.30","7050200","",""
"ANTICOSTI WEST POINT","QUEBEC","49.87","-64.53","9.10","7050210","",""
"ANTIGONISH","NOVA SCOTIA","45.62","-61.98","30.50","8200151","",""
"ANTIGONISH","NOVA SCOTIA","45.63","-61.97","9.10","8200150","",""
"ANTIGONISH SNOW","NOVA SCOTIA","45.62","-61.90","30.00","8200152","",""
"ANTLER HILL","ALBERTA","52.05","-113.85","944.90","3020250","",""
"ANVIL","YUKON TERRITORY","62.37","-133.38","1158.20","2100120","",""
"ANVIL ISLAND","BRITISH COLUMBIA","49.52","-123.30","30.50","1040445","",""
"ANYOX","BRITISH COLUMBIA","55.42","-129.82","112.80","1060446","",""
"ANZAC","ALBERTA","56.45","-111.05","487.70","3060280","",""
"ANZAC","ALBERTA","56.45","-111.03","495.30","3060281","",""
"APEX MTN LODGE","BRITISH COLUMBIA","49.40","-119.92","1889.80","1120447","",""
"APPLE HILL","ONTARIO","45.22","-74.75","91.40","6100284","",""
"APPLETON","ONTARIO","45.19","-76.11","133.00","6100285","",""
"APPS MILL","ONTARIO","43.13","-80.38","230.10","6140286","",""
"APRIL BROOK IHD","NOVA SCOTIA","46.23","-61.13","61.00","8200155","",""
"APSLEY","ONTARIO","44.77","-78.08","274.30","6160297","",""
"ARAWANA","BRITISH COLUMBIA","49.58","-119.57","518.20","1120M47","",""
"ARBORG","MANITOBA","50.93","-97.08","224.00","5030080","",""
"ARCHERWILL","SASKATCHEWAN","52.43","-104.02","556.00","4080200","",""
"ARCOLA CDA EPF","SASKATCHEWAN","49.63","-102.53","603.50","4010240","",""
"ARCTIC BAY","NUNAVUT","73.03","-85.15","11.30","2400400","",""
"ARCTIC BAY","NUNAVUT","73.01","-85.05","21.90","2400399","","YAB"
"ARCTIC BAY CS","NUNAVUT","72.99","-85.01","10.00","2400404","71592","XAT"
"ARCTIC RED RIVER","NORTHWEST TERRITORIES","67.45","-133.73","30.50","2200412","",""
"ARDEN","ONTARIO","44.70","-76.95","","6100310","",""
"ARDENVILLE","ALBERTA","49.53","-113.43","1126.00","3030200","","PAV"
"ARGENTA","BRITISH COLUMBIA","50.17","-116.93","548.60","1140448","",""
"ARGENTIA (AUT)","NEWFOUNDLAND","47.29","-53.99","19.00","8400104","71807","WAR"
"ARGENTIA A","NEWFOUNDLAND","47.30","-54.00","13.70","8400100","",""
"ARGENTIA A","NEWFOUNDLAND","47.30","-54.00","15.50","8400102","",""
"ARGYLE HEAD","NOVA SCOTIA","43.83","-65.87","15.20","8200170","",""
"ARGYLE SHORE","PRINCE EDWARD ISLAND","46.17","-63.35","15.20","8300108","",""
"ARKONA","ONTARIO","43.03","-81.92","182.90","6120315","",""
"ARMADA EXP ST","ALBERTA","50.40","-112.68","911.40","3030300","",""
"ARMAGH","QUEBEC","46.75","-70.53","358.00","7050240","",""
"ARMAGH STATION","QUEBEC","46.72","-70.62","312.40","7050245","",""
"ARMENA","ALBERTA","53.13","-112.95","746.80","3010301","",""
"ARMIT","SASKATCHEWAN","52.83","-101.78","308.00","4080250","",""
"ARMSTRONG","ONTARIO","50.28","-89.15","341.70","6040322","",""
"ARMSTRONG","BRITISH COLUMBIA","50.45","-119.18","359.00","1160450","",""
"ARMSTRONG (AUT)","ONTARIO","50.30","-89.03","350.50","6040326","",""
"ARMSTRONG (AUT)","ONTARIO","50.29","-88.91","322.50","6040325","71841","WYW"
"ARMSTRONG A","ONTARIO","50.29","-88.91","322.50","6040327","","YYW"
"ARMSTRONG GRANDVIEW","BRITISH COLUMBIA","50.40","-119.28","502.90","1120475","",""
"ARMSTRONG HULLCAR","BRITISH COLUMBIA","50.50","-119.22","505.00","1160483","",""
"ARMSTRONG JELLIEN","ONTARIO","50.25","-89.10","341.40","6040330","",""
"ARMSTRONG NORTH","BRITISH COLUMBIA","50.47","-119.13","373.00","1160485","",""
"ARMSTRONG OTTER LAKE","BRITISH COLUMBIA","50.40","-119.25","342.40","1120486","",""
"ARNESON","ALBERTA","51.23","-110.05","754.40","3020L01","",""
"ARNOLDS COVE","NEWFOUNDLAND","47.75","-54.00","15.20","8400135","",""
"ARNPRIOR","ONTARIO","45.43","-76.38","99.10","6100340","",""
"ARNPRIOR GRANDON","ONTARIO","45.42","-76.37","106.70","6100345","",""
"AROOSTOOK","NEW BRUNSWICK","46.71","-67.72","80.00","8100300","",""
"ARRAN","SASKATCHEWAN","51.97","-101.73","449.60","4080260","",""
"ARRAN 23N","SASKATCHEWAN","52.20","-101.63","449.90","4080262","",""
"ARRAS","BRITISH COLUMBIA","55.73","-120.53","676.70","1180490","",""
"ARROW RIVER","MANITOBA","50.17","-100.85","486.20","5010114","",""
"ARROWWOOD","ALBERTA","50.73","-113.15","936.30","3030302","",""
"ARTHABASKA","QUEBEC","46.02","-71.95","140.00","7020305","",""
"ARTHUR","ONTARIO","43.82","-80.57","452.00","6140348","",""
"ARTHURETTE BIRCH RIDGE","NEW BRUNSWICK","46.75","-67.47","214.90","8100350","",""
"ARTLAND","SASKATCHEWAN","52.78","-109.90","640.10","4040267","",""
"ARUNDEL","QUEBEC","45.95","-74.62","191.40","7030310","",""
"ARVIAT A","NUNAVUT","61.10","-94.07","10.40","2300MKF","","YEK"
"ARVIAT A","NUNAVUT","61.09","-94.07","10.40","2300427","71174","YEK"
"ARVIAT AWOS","NUNAVUT","61.10","-94.07","10.40","2300426","","YEK"
"ARVIAT CLIMATE","NUNAVUT","61.10","-94.07","9.80","2301153","71322","XAR"
"ARVIDA","QUEBEC","48.43","-71.17","102.10","7060320","",""
"ASBESTOS","QUEBEC","45.77","-71.95","228.60","7020360","",""
"ASBESTOS HILL","QUEBEC","61.80","-73.95","483.70","7110370","",""
"ASH RIVER","BRITISH COLUMBIA","49.47","-125.08","304.80","1030550","",""
"ASH RIVER GENERATING STN","BRITISH COLUMBIA","49.37","-125.15","91.40","1030552","",""
"ASHCROFT","BRITISH COLUMBIA","50.71","-121.28","327.00","1160515","71681","VAS"
"ASHCROFT","BRITISH COLUMBIA","50.73","-121.27","331.00","1160511","",""
"ASHCROFT","BRITISH COLUMBIA","50.72","-121.28","304.80","1160510","",""
"ASHCROFT M","BRITISH COLUMBIA","50.72","-121.33","487.70","1160540","",""
"ASHCROFT NORTH","BRITISH COLUMBIA","50.73","-121.27","320.00","1160520","",""
"ASHCROFT VENABLES VLY","BRITISH COLUMBIA","50.55","-121.33","640.00","1160546","",""
"ASHDALE","NOVA SCOTIA","45.00","-63.88","70.10","8200180","",""
"ASHERN","MANITOBA","51.13","-98.37","263.00","5040120","",""
"ASHERN NORTHWEST","MANITOBA","51.20","-98.38","266.70","5040JK0","",""
"ASHTON","ONTARIO","45.20","-75.97","136.90","6100353","",""
"ASHTON HILL","NEW BRUNSWICK","47.10","-65.73","278.90","8100400","",""
"ASHTON STN SESIA FARM","ONTARIO","45.17","-76.07","137.20","6100363","",""
"ASHUANIPI","NEWFOUNDLAND","52.53","-66.23","545.60","8500200","",""
"ASHVILLE","MANITOBA","51.28","-100.28","320.00","5040121","",""
"ASQUITH","SASKATCHEWAN","52.13","-107.23","519.40","4050275","",""
"ASSINIBOIA","SASKATCHEWAN","49.73","-105.97","723.90","4020280","",""
"ASSINIBOIA AIRPORT","SASKATCHEWAN","49.73","-105.95","725.50","4020286","71487","WJI"
"ASSUMPTION","ALBERTA","58.70","-118.72","335.30","3070311","",""
"ASSUMPTION","ALBERTA","58.70","-118.68","304.80","3070310","",""
"ATHABASCA","ALBERTA","54.72","-113.28","515.00","3060320","",""
"ATHABASCA 1","ALBERTA","54.72","-113.29","514.70","3060L20","",""
"ATHABASCA 2","ALBERTA","54.82","-113.54","626.30","3060321","",""
"ATHABASCA 3","ALBERTA","54.72","-113.28","526.70","3060322","",""
"ATHABASCA AGCM","ALBERTA","54.63","-113.38","635.00","3060330","71271","PAF"
"ATHABASCA EXP ST","ALBERTA","54.70","-113.38","579.10","3060337","",""
"ATHABASCA LANDING","ALBERTA","54.72","-113.28","502.90","3060352","",""
"ATHABASCA LO","ALBERTA","53.42","-117.78","1630.70","3060353","",""
"ATHENS","ONTARIO","44.65","-75.92","121.90","6100375","",""
"ATIKAMEG","ALBERTA","55.90","-115.65","650.70","3070400","",""
"ATIKOKAN","ONTARIO","48.75","-91.62","395.30","6020379","",""
"ATIKOKAN (AUT)","ONTARIO","48.76","-91.63","389.30","6020LPQ","71747","WCH"
"ATIKOKAN CLI","ONTARIO","48.73","-91.63","391.40","6020381","",""
"ATIKOKAN MARMION","ONTARIO","48.80","-91.58","442.00","6020384","",""
"ATKINSON POINT","NORTHWEST TERRITORIES","69.93","-131.40","3.00","2200430","",""
"ATLEE","ALBERTA","50.82","-110.95","792.50","3020401","",""
"ATLEE AGCM","ALBERTA","50.81","-111.01","795.00","3020405","71986","PAT"
"ATLIN","BRITISH COLUMBIA","59.57","-133.70","673.60","1200560","",""
"ATMORE","ALBERTA","54.82","-112.55","609.60","3060403","",""
"ATMORE AGDM","ALBERTA","54.78","-112.83","574.00","3060406","71287","XAJ"
"ATNARKO PARKS CAMP","BRITISH COLUMBIA","52.42","-125.92","289.90","1080562","",""
"ATTAWAPISKAT","ONTARIO","52.92","-82.45","9.10","6010387","",""
"ATTAWAPISKAT A","ONTARIO","52.93","-82.43","9.10","6010400","71653","YAT"
"ATWATER","SASKATCHEWAN","50.82","-102.22","536.10","4010310","",""
"AUDET","QUEBEC","45.65","-70.73","513.60","7020391","",""
"AUPALUK A","QUEBEC","59.30","-69.60","36.90","7110601","","YLA"
"AURORA","ONTARIO","43.95","-79.40","270.10","6150395","",""
"AURORA LO","ALBERTA","52.65","-115.72","1341.10","3010410","",""
"AURORA MOE","ONTARIO","44.02","-79.47","259.10","6150396","",""
"AURORA NE","ONTARIO","44.02","-79.45","260.00","6150398","",""
"AURORA PAYMENT","ONTARIO","43.98","-79.47","281.90","6150397","",""
"AUSTIN","MANITOBA","49.90","-98.98","327.70","5040128","",""
"AUTEUIL","QUEBEC","45.65","-73.73","53.00","7020392","",""
"AVOLA","BRITISH COLUMBIA","51.78","-119.33","609.60","1160565","",""
"AVON","NOVA SCOTIA","44.88","-64.22","23.70","8200200","",""
"AVONDALE","NOVA SCOTIA","45.02","-64.12","42.10","8200210","",""
"AVONDALE CDA","NEWFOUNDLAND","47.42","-53.23","132.60","8400225","",""
"AVONLEA EXP ST","SASKATCHEWAN","50.02","-105.05","601.10","4010320","",""
"AVONMORE","ONTARIO","45.17","-74.97","91.40","6100398","",""
"AYLESBURY","SASKATCHEWAN","50.93","-105.70","579.10","4010358","",""
"AYLESBURY CDA EPF","SASKATCHEWAN","51.00","-105.67","576.10","4010360","",""
"AYLESFORD","NOVA SCOTIA","45.03","-64.87","39.90","8200220","",""
"AYLMER","ONTARIO","42.77","-80.98","232.00","6130411","",""
"AYLMER","ONTARIO","42.77","-80.98","228.60","6130409","",""
"AYLMER 2","ONTARIO","42.77","-81.00","231.60","6130415","",""
"AYLMER ONT HYDRO","ONTARIO","42.78","-80.98","235.90","6130420","",""
"AYLSHAM","SASKATCHEWAN","53.20","-103.80","362.10","4070365","",""
"AYR","ONTARIO","43.28","-80.45","289.60","6140437","",""
"AYTON","ONTARIO","44.08","-80.83","361.00","6110439","",""
"AZURE","ALBERTA","50.51","-114.01","1143.00","3030450","71981","PAZ"
"BABINE LAKE FISHERIES","BRITISH COLUMBIA","55.07","-126.53","713.20","1070571","",""
"BABINE LAKE HALIFAX BAY","BRITISH COLUMBIA","55.05","-126.48","711.70","1070572","",""
"BABINE LAKE PINKUT CREEK","BRITISH COLUMBIA","54.45","-125.46","713.20","1070573","",""
"BACCARO","NOVA SCOTIA","43.47","-65.47","3.00","8200250","",""
"BACCARO POINT","NOVA SCOTIA","43.45","-65.47","12.70","8200254","","WCP"
"BACCARO PT","NOVA SCOTIA","43.45","-65.47","4.60","8200255","71920","ACP"
"BACHELORS ISLAND MARINE","MANITOBA","51.75","-99.90","255.90","5040131","71143","WBL"
"BACK RIVER (AUT)","NUNAVUT","66.09","-96.51","61.00","2300MQM","","WXV"
"BAD LAKE IHD 102","SASKATCHEWAN","51.32","-108.42","637.00","404037Q","",""
"BADDECK","NOVA SCOTIA","46.10","-60.75","7.60","8200300","",""
"BADDECK BELL","NOVA SCOTIA","46.10","-60.75","16.60","8200301","",""
"BADGER","NEWFOUNDLAND","48.98","-56.05","100.60","8400300","",""
"BADGER (AUT)","NEWFOUNDLAND","48.97","-56.07","102.70","8400301","71400","WDI"
"BADGER C","NEWFOUNDLAND","48.97","-56.05","102.00","8400309","",""
"BAGOTVILLE A","QUEBEC","48.33","-71.00","159.10","7060400","71727","YBG"
